id,from,to,from_frame,to_frame
1144,1494,1524,59,60
1145,1465,1494,58,59
1146,1434,1465,57,58
1147,1404,1434,56,57
1148,1376,1404,55,56
1149,1347,1376,54,55
1150,1320,1347,53,54
1151,1288,1320,52,53
1152,1257,1288,51,52
1153,1227,1257,50,51
1154,1199,1227,49,50
1155,1169,1199,48,49
1156,1137,1169,47,48
1157,1105,1137,46,47
1158,1074,1105,45,46
1159,1044,1074,44,45
1160,1012,1044,43,44
1161,983,1012,42,43
1162,952,983,41,42
1163,925,952,40,41
1164,899,925,39,40
1165,872,899,38,39
1166,849,872,37,38
1167,825,849,36,37
1168,801,825,35,36
1169,777,801,34,35
1170,751,777,33,34
1171,1885,1919,72,73
1172,1849,1885,71,72
1173,1819,1849,70,71
1174,1789,1819,69,70
1175,1758,1789,68,69
1176,1728,1758,67,68
1177,1698,1728,66,67
1178,1666,1698,65,66
1179,1634,1666,64,65
1180,1602,1634,63,64
1181,1566,1602,62,63
1182,1538,1566,61,62
1183,1507,1538,60,61
1184,1480,1507,59,60
1185,1449,1480,58,59
1186,1418,1449,57,58
1187,1389,1418,56,57
1188,1356,1389,55,56
1189,1329,1356,54,55
1190,1300,1329,53,54
1191,1268,1300,52,53
1192,1241,1268,51,52
1193,1211,1241,50,51
1194,1183,1211,49,50
1195,1149,1183,48,49
1196,1116,1149,47,48
1197,1085,1116,46,47
1198,1056,1085,45,46
1199,1023,1056,44,45
1200,995,1023,43,44
1201,963,995,42,43
1202,935,963,41,42
1203,908,935,40,41
1204,880,908,39,40
1205,855,880,38,39
1206,830,855,37,38
1207,805,830,36,37
1208,781,805,35,36
1209,753,781,34,35
1210,892,920,39,40
1211,866,892,38,39
1212,842,866,37,38
1213,816,842,36,37
1214,1272,1304,52,53
1215,1244,1272,51,52
1216,1213,1244,50,51
1217,1186,1213,49,50
1218,1155,1186,48,49
1219,1122,1155,47,48
1220,1092,1122,46,47
1221,1062,1092,45,46
1222,1030,1062,44,45
1223,1001,1030,43,44
1224,970,1001,42,43
1225,942,970,41,42
1226,915,942,40,41
1227,888,915,39,40
1228,862,888,38,39
1229,839,862,37,38
1230,1126,1159,47,48
1231,1095,1126,46,47
1232,1065,1095,45,46
1233,1037,1065,44,45
1234,1005,1037,43,44
1235,977,1005,42,43
1236,948,977,41,42
1237,921,948,40,41
1238,894,921,39,40
1239,868,894,38,39
1240,1411,1444,57,58
1241,1383,1411,56,57
1242,1353,1383,55,56
1243,1325,1353,54,55
1244,1294,1325,53,54
1245,1263,1294,52,53
1246,1235,1263,51,52
1247,1205,1235,50,51
1248,1177,1205,49,50
1249,1146,1177,48,49
1250,1113,1146,47,48
1251,1083,1113,46,47
1252,1053,1083,45,46
1253,1020,1053,44,45
1254,993,1020,43,44
1255,962,993,42,43
1256,934,962,41,42
1257,907,934,40,41
1258,879,907,39,40
1259,1000,1029,43,44
1260,969,1000,42,43
1261,941,969,41,42
1262,912,941,40,41
1263,1913,1949,72,73
1264,1879,1913,71,72
1265,1842,1879,70,71
1266,1812,1842,69,70
1267,1785,1812,68,69
1268,1755,1785,67,68
1269,1724,1755,66,67
1270,1692,1724,65,66
1271,1660,1692,64,65
1272,1627,1660,63,64
1273,1595,1627,62,63
1274,1561,1595,61,62
1275,1532,1561,60,61
1276,1501,1532,59,60
1277,1472,1501,58,59
1278,1440,1472,57,58
