ID,XM,YM,Slice
855,1369.353,589.305,14
856,539.859,731.937,14
857,907.381,739.383,14
858,881.968,745.648,14
859,1201.364,759.281,14
860,377.798,835.544,14
861,86.792,840.427,14
862,223.757,869.135,14
863,47.45,888.074,14
864,461.9,907.257,14
865,338.759,905.591,14
866,745.557,931.534,14
867,807.734,932.034,14
868,972.479,947.247,14
869,169.306,986.85,14
870,1355.224,991.82,14
871,1328.839,994.12,14
872,984.393,1001.899,14
873,1008.505,1022.765,14
874,62.425,1029.986,14
875,734.785,1029.709,14
876,655.711,37.389,15
877,1124.576,121.672,15
878,1193.291,121.278,15
879,1174.749,134.915,15
880,1002.35,168.369,15
881,714.31,243.513,15
882,979.791,240.044,15
883,512.343,243.535,15
884,662.476,308.187,15
885,883.351,293.757,15
886,1340.921,320.818,15
887,965.35,360.602,15
888,530.198,411.305,15
889,681.548,452.001,15
890,1347.597,482.528,15
891,740.707,536.068,15
892,60.31,542.062,15
893,1371.06,594.204,15
894,534.504,733.87,15
895,939.873,758.606,15
896,917.956,752.56,15
897,1159.255,773.509,15
898,389.38,861.014,15
899,44.299,828.727,15
900,220.877,892.951,15
901,48.603,908.997,15
902,468.407,910.773,15
903,755.95,910.296,15
904,731.508,946.166,15
905,152.95,998.696,15
906,1385.376,994.557,15
907,1362.885,1000.292,15
908,990.128,1014.27,15
909,654.244,11.702,16
910,1125.031,120.79,16
911,999.173,168.29,16
912,712.954,213.154,16
913,509.315,238.972,16
914,987.875,254.875,16
915,629.974,281.062,16
916,599.816,264.413,16
917,1353.303,322.894,16
918,972.298,376.531,16
919,510.162,414.189,16
920,680.972,463.264,16
921,1313.948,487.319,16
922,760.695,516.981,16
923,60.998,554.7,16
924,1364.711,588.582,16
925,525.89,730.115,16
926,964.351,771.323,16
927,22.046,761.514,16
928,1116.635,784.034,16
929,940.463,774.98,16
930,16.086,811.044,16
931,350.974,843.769,16
932,401.177,881.997,16
933,466.18,918.254,16
934,40.99,914.713,16
935,217.261,928.347,16
936,744.938,925.799,16
937,607.522,939.033,16
938,722.194,960.666,16
939,227.045,964.246,16
940,965.284,997.72,16
941,137.197,1009.67,16
942,985.109,1007.806,16
943,994.886,1023.505,16
944,9.246,1028.966,16
945,672.445,8.196,17
946,1179.57,101.418,17
947,1125.792,119.868,17
948,997.829,168.597,17
949,700.121,195.125,17
950,511.604,230.812,17
951,593.91,257.404,17
952,989.992,259.46,17
953,1359.747,312.712,17
954,982.286,399.13,17
955,510.715,421.128,17
956,1281.296,476.051,17
957,680.5,473.73,17
958,790.026,496.42,17
959,772.148,509.831,17
960,63.161,568.132,17
961,525.565,726.734,17
962,7.433,777.15,17
963,1083.345,793.042,17
964,990.308,798.155,17
965,967.939,799.856,17
966,372.402,898.577,17
967,463.423,918.343,17
968,39.852,926.692,17
969,711.252,964.427,17
970,205.004,953.943,17
971,691.541,973.345,17
972,955.979,987.911,17
973,701.475,999.913,17
974,123.137,1011.24,17
975,978.941,1017.926,17
976,673.971,10.761,18
977,1179.322,78.804,18
978,1126.29,118.174,18
979,700.704,169.834,18
980,999.009,168.444,18
981,509.98,227.266,18
982,561.091,249.096,18
983,1002.918,262.269,18
984,971.752,299.019,18
985,1036.217,307.399,18
986,1371.86,310.811,18
987,513.56,427.704,18
988,991.066,418.465,18
